# List of cataclysmic variables
# P. Mroz & P. Szkody
# 23 Mar 2020
# name ra dec l b
ZTF18abmntno  11.876313  58.533831 122.417259  -4.333989
ZTF18abmokzc  51.335929  50.401521 146.404182  -5.322122
ZTF18abmqcnx 306.339770  15.987634  58.390722 -12.432778
ZTF18abmszln 297.060250  34.866942  69.986026   4.676848
ZTF18abmwrrx  18.905252  62.283196 125.739817  -0.456638
ZTF18abnbmkv 303.583121  16.661038  57.506165  -9.844547
ZTF18abncqfx  15.517271  60.689824 124.233574  -2.155054
ZTF18abnnidi 336.099328  51.509423 100.976168  -4.983296
ZTF18abnudvw 301.087271  11.546418  51.791665 -10.455989
ZTF18abnuekr 303.482815  -5.435026  37.570133 -20.809026
ZTF18abnxgmb 327.032504  29.646664  81.904261 -18.266127
ZTF18abnxloo 316.170933  39.681279  82.729016  -4.876610
ZTF18abobptn 299.328442  -9.322656  31.926303 -18.834889
ZTF18abochac 327.857535  46.467619  93.614775  -5.903579
ZTF18abojwke 291.744125   3.909012  40.498365  -6.087639
ZTF18abpaake 256.525427  25.864787  47.277455  33.653959
ZTF18abpoeao 299.462451   9.439209  49.123106 -10.141422
ZTF18abppgdj  52.066252  61.421506 140.578088   4.044852
ZTF18abptyvl 293.989415  11.091163  47.908885  -4.638681
ZTF18abqasii  23.659328  52.104396 129.647567 -10.203167
ZTF18abqazwf 285.134471  30.511120  61.434071  11.599466
ZTF18abqboud 337.845817  33.515858  92.141635 -20.851064
ZTF18abqdgcg 291.787278   8.474361  44.564355  -3.980222
ZTF18abqdpzl 316.768345  45.521070  87.366464  -1.290617
ZTF18abqdtes 328.641536  23.900055  78.893097 -23.479192
ZTF18abqedag  80.412458  43.998365 164.737100   4.145439
ZTF18abqeizk  95.465310  20.395649 191.484228   2.955165
ZTF18abqlkwb 321.921831  50.354273  93.234261  -0.385499
ZTF18abqlqri 339.370125  58.077497 105.967902  -0.312419
ZTF18abrnzbv 318.353025  44.043992  87.050676  -3.120102
ZTF18abrwrxh 293.905306  12.867879  49.429091  -3.708760
ZTF18abrzwax 283.321965  10.687221  42.671579   4.444986
ZTF18absanfq 320.773105  15.146820  66.377375 -24.125034
ZTF18absbkar 331.281565  45.093288  94.660652  -8.455539
ZTF18abscxct  65.887131  74.880595 135.552225  17.492779
ZTF18absiggp 291.685474   7.779705  43.902691  -4.219271
ZTF18absihoy 301.927534  11.969567  52.590997 -10.944736
ZTF18abssrbs 308.756129  -0.329556  45.103600 -23.036525
ZTF18abtffxi 336.181100  50.527537 100.492658  -5.840646
ZTF18abtlqub  31.242639  57.468589 132.720202  -3.999031
ZTF18abtmqvh  53.103682  53.604816 145.487644  -2.065253
ZTF18abtmzoi  61.749240   0.878820 190.342513 -35.317959
ZTF18abtovmq 311.619521  22.570849  66.843129 -12.732189
ZTF18abtsujy  71.454523  43.216370 161.410209  -1.474787
ZTF18abuafzd  80.482854  38.870863 168.996144   1.282036
ZTF18abudsie 301.935833  -0.463928  41.466194 -17.130884
ZTF18abujafa  68.528647  49.105082 155.662967   0.921638
ZTF18abumrmx  18.818954  24.925052 129.759819 -37.630457
ZTF18abuocxn   4.289677  48.897113 117.147522 -13.589256
ZTF18abuqngq  92.854408  22.354748 188.604173   1.743601
ZTF18aburjrn 300.048578  22.581513  60.787915  -3.884996
ZTF18abvbqyo 331.671049  30.243258  85.554495 -20.422164
ZTF18abvburn 343.839175  53.645498 106.142768  -5.399310
ZTF18abvcrsv 316.863797  46.728077  88.302352  -0.525379
ZTF18abvhasg 302.998451  25.947227  65.080524  -4.359878
ZTF18abvigco 322.497862  78.872643 113.846697  19.745298
ZTF18abvlkyj  74.186555  50.759118 156.775909   4.762665
ZTF18abvokyy 299.312768  36.450960  72.287479   3.908060
ZTF18abvtosb  82.231977  36.310770 171.893565   0.995041
ZTF18abvurzy 289.390373  16.027261  50.130787   1.639057
ZTF18abvxbfh 353.874992  60.901591 113.828779  -0.620924
ZTF18abvxdou 328.134613  49.072071  95.407450  -3.998749
ZTF18abvytad  18.573874  59.598532 125.824513  -3.144781
ZTF18abwcaoz  78.143906  45.086286 162.912553   3.450426
ZTF18abwklul  64.559462  51.128735 152.438489   0.506680
ZTF18abwntpz 323.654523  57.035344  98.548988   3.794517
ZTF18abwsres  89.689508  39.259167 172.443394   7.559320
ZTF18abxcbwg 282.827563  12.494372  44.074270   5.689261
ZTF18abxcues 310.393783  22.526498  66.116391 -11.849431
ZTF18abxkbzz 311.119558  14.836553  60.079188 -16.892531
ZTF18abxyuzo 306.096160  24.069419  65.077814  -7.737082
ZTF18abydnst  86.598770  33.523358 176.166315   2.526276
ZTF18abygdtf 312.372793  55.088199  92.808598   7.065367
ZTF18abypyap  97.941604   9.579234 202.174598   0.037130
ZTF18abyyhsf  94.000943  21.374944 189.974114   2.210182
ZTF18abzbknn  23.155257  60.602586 127.967744  -1.865866
ZTF18abzhbdj 100.860833  13.521963 199.975298   4.383880
